_id,_p_user,Owner,questionId,Message,_updated_at,_created_at
ws8R9sgevF,_User$01CM6FiA24,BOT,treatmentSessionIntro,"Hi Tannu, मैं आपका Cure AI हेल्थ असिस्टेंट हूँ। क्या आपके ट्रीटमेंट प्लान को लेकर कोई सवाल हैं? मैं यहाँ आपकी मदद के लिए हूँ।",2026-06-28T18:22:41.756+05:30,2026-06-28T18:22:41.756+05:30
mC94ara2JV,_User$01CM6FiA24,USER,treatmentSessionIntro,Inhin product se hamara face theek ho jaega ya FIR hamen aur Lene padenge inse Alag,2026-06-28T18:23:11.475+05:30,2026-06-28T18:23:11.475+05:30
mt11ziwdio,_User$01CM6FiA24,BOT,newTreatmentSessionLLMAssistantMessage1,"Cureskin's personalized regimen is designed to help improve your skin concerns over time. With regular use and follow-ups, many users start seeing visible improvements within weeks. However, the exact timeline for results can vary based on individual skin types and concerns, typically taking around 6 to 12 weeks for noticeable changes.

If you find that your skin condition improves, it's important to maintain a basic routine to preserve those results. Your dermatologist will guide you on any additional products you might need after your initial treatment.",2026-06-28T18:23:30.329+05:30,2026-06-28T18:23:30.329+05:30
7ROfevstsQ,_User$01CM6FiA24,USER,newTreatmentSessionLLMAssistantMessage1,Hindi mein jawab do mujhe English nahin aati,2026-06-28T18:23:57.377+05:30,2026-06-28T18:23:57.377+05:30
wz65jvBufL,_User$01CM6FiA24,BOT,newTreatmentSessionLLMAssistantMessage2,"Sorry, we couldn’t process your response. Please try again later.",2026-06-28T18:24:20.021+05:30,2026-06-28T18:24:20.021+05:30
0YwTpwHRnY,_User$01CM6FiA24,USER,newTreatmentSessionLLMAssistantMessage2,ISI Saman se product se hamara face theek ho jaega ya isase alag aur mangwana padega yah batao aap Hindi mein,2026-06-28T18:25:38.122+05:30,2026-06-28T18:25:38.122+05:30
eABzufeaCB,_User$01CM6FiA24,BOT,newTreatmentSessionLLMAssistantMessage1,"Cureskin ka regimen aapki skin concerns ko sudharne ke liye design kiya gaya hai. Aapko is regimen se achhe results milne ki sambhavna hai, lekin har kisi ki skin alag hoti hai, isliye visible results dekhne mein 6 se 12 hafton tak lag sakte hain.

Agar aapko lagta hai ki aapki skin condition improve ho rahi hai, toh aapko apne dermatologist se baat karni chahiye. Wo aapko batayenge ki kya aapko aur products ki zaroorat hai ya nahi, ya aapko sirf isi regimen se kaam chalana hai.",2026-06-28T18:25:59.521+05:30,2026-06-28T18:25:59.521+05:30
eKYyAaVYkb,_User$01CM6FiA24,USER,newTreatmentSessionLLMAssistantMessage1,Itna budget hamare pass nahin Ho payega Mam sorry iske liye Ham nahin mangwa payenge,2026-06-28T18:29:29.276+05:30,2026-06-28T18:29:29.276+05:30
litDMMMDz9,_User$01CM6FiA24,BOT,newTreatmentSessionLLMAssistantMessage2,"Koi baat nahi! Agar aapka budget abhi itna nahi hai, toh jab aap tayaar ho, tab aap phir se consultation ke liye ja sakte hain. Aap apne photos upload karke ek naya regimen banwa sakte hain, jo aapki latest details par adharit hoga. Hum aapki madad ke liye hamesha yahan hain jab aap apne skin ya hair ke liye healthy journey shuru karna chahte hain.",2026-06-28T18:29:41.878+05:30,2026-06-28T18:29:41.878+05:30
8FisuVbrhq,_User$01CM6FiA24,USER,newTreatmentSessionLLMAssistantMessage2,Okay mam thanks,2026-06-28T18:30:19.518+05:30,2026-06-28T18:30:19.518+05:30
hC1ORhez24,_User$01CM6FiA24,BOT,newTreatmentSessionLLMAssistantMessage1,"Aapka swagat hai! Agar aapko aur koi madad chahiye ho, toh zaroor puchiye. Aapka din shubh ho!",2026-06-28T18:30:24.778+05:30,2026-06-28T18:30:24.778+05:30
7TDDSC7Z2I,_User$01bYrAmRfH,BOT,treatmentSessionIntro,"Hi Abhi, I’m your Cure AI Health Assistant. Have questions about your treatment plan? I'm here for you.",2026-06-28T21:25:37.288+05:30,2026-06-28T21:25:37.288+05:30
KOymRKSuBY,_User$08DuNGugwq,USER,newTreatmentSessionLLMAssistantMessage2,Mujhe order cancel karna hai,2026-06-28T10:48:05.911+05:30,2026-06-28T10:48:05.911+05:30
Y40RV0EjIO,_User$08DuNGugwq,BOT,newTreatmentSessionLLMAssistantMessage1,"आप अपना ऑर्डर कैंसल कर सकते हैं यदि वह अभी तक शिप नहीं हुआ है। आप ""My Orders"" सेक्शन में जाकर या ""HELP"" सेक्शन के माध्यम से कैंसलेशन रिक्वेस्ट उठा सकते हैं, या आप orders@Cureskin.com पर ईमेल कर सकते हैं। इसके अलावा, आप ग्राहक सहायता से 81500 96500 पर संपर्क करके भी मदद ले सकते हैं।",2026-06-28T10:48:22.252+05:30,2026-06-28T10:48:22.252+05:30
Jfd5bp5p7W,_User$08DuNGugwq,USER,newTreatmentSessionLLMAssistantMessage1,Kab tak aaegi kitne din ki baat Ho gai,2026-06-28T10:48:49.779+05:30,2026-06-28T10:48:49.779+05:30
YvT3fwPAHB,_User$08DuNGugwq,BOT,newTreatmentSessionLLMAssistantMessage2,"आपका ऑर्डर आमतौर पर 4-5 कार्यदिवसों में डिलीवर हो जाता है। यदि आपकी डिलीवरी में कोई देरी हो रही है, तो आप अपने ऑर्डर की स्थिति को ट्रैक कर सकते हैं। यदि आपको कोई समस्या है, तो आप ग्राहक सहायता से संपर्क कर सकते हैं।",2026-06-28T10:49:02.248+05:30,2026-06-28T10:49:02.248+05:30
JIJ2HUk8EE,_User$08DuNGugwq,USER,newTreatmentSessionLLMAssistantMessage2,Kya Mera order cancel ho chuka hai,2026-06-28T14:20:43.127+05:30,2026-06-28T14:20:43.127+05:30
L6iH0TCfKd,_User$08DuNGugwq,BOT,newTreatmentSessionLLMAssistantMessage1,"आपका ऑर्डर कैंसल हुआ है या नहीं, यह जानने के लिए आपको ""My Orders"" सेक्शन में जाकर चेक करना होगा। यदि आपका ऑर्डर अभी तक शिप नहीं हुआ है, तो आप उसे कैंसल कर सकते हैं। यदि आपको कोई समस्या है, तो आप ग्राहक सहायता से 81500 96500 पर संपर्क कर सकते हैं।",2026-06-28T14:20:53.875+05:30,2026-06-28T14:20:53.875+05:30
sqhiRJZDKo,_User$08DuNGugwq,USER,newTreatmentSessionLLMAssistantMessage1,My orders Kahan milega,2026-06-28T14:21:43.932+05:30,2026-06-28T14:21:43.932+05:30
hS4X3Cc9MF,_User$08DuNGugwq,BOT,newTreatmentSessionLLMAssistantMessage2,"आप ""My Orders"" सेक्शन को Cureskin ऐप में पा सकते हैं। वहाँ जाकर आप अपने ऑर्डर की स्थिति देख सकते हैं और ट्रैकिंग जानकारी प्राप्त कर सकते हैं। यदि आपको कोई समस्या है, तो आप ग्राहक सहायता से भी संपर्क कर सकते हैं।",2026-06-28T14:21:51.844+05:30,2026-06-28T14:21:51.844+05:30
ER15Hq038b,_User$0Bbc6jsRxF,BOT,treatmentSessionIntro,"Hi Nashra, I’m your Cure AI Health Assistant. Have questions about your treatment plan? I'm here for you.",2026-06-28T23:13:47.377+05:30,2026-06-28T23:13:47.377+05:30
elng8SaEsG,_User$0Bbc6jsRxF,USER,treatmentSessionIntro,I wanna tell I'm using one cream,2026-06-28T23:14:01.447+05:30,2026-06-28T23:14:01.447+05:30
skoApNoTBu,_User$0Bbc6jsRxF,BOT,newTreatmentSessionLLMAssistantMessage1,"आप किस क्रीम का उपयोग कर रहे हैं? अगर आपको उस क्रीम के बारे में कोई जानकारी चाहिए या उसके उपयोग के तरीके के बारे में जानना है, तो कृपया अपने Cureskin डॉक्टर से संपर्क करें।",2026-06-28T23:14:09.654+05:30,2026-06-28T23:14:09.654+05:30
Isv7aEgPDq,_User$0Bjo58AFxN,BOT,treatmentSessionIntro,"Hi Pari, मैं आपका Cure AI हेल्थ असिस्टेंट हूँ। क्या आपके ट्रीटमेंट प्लान को लेकर कोई सवाल हैं? मैं यहाँ आपकी मदद के लिए हूँ।",2026-06-28T09:47:07.423+05:30,2026-06-28T09:47:07.423+05:30
541wIPpVOO,_User$0Bjo58AFxN,USER,treatmentSessionIntro,Kya Main Cetaphil agentle skin cleanser use kar sakti hun,2026-06-28T09:47:30.766+05:30,2026-06-28T09:47:30.766+05:30
hQJkslDarm,_User$0Bjo58AFxN,BOT,newTreatmentSessionLLMAssistantMessage1,"Cetaphil cleanser Cureskin ka product nahi hai, isliye main iski safety ya aapke kit ke saath iske use ke baare mein comment nahi kar sakta. Kripya app ke through apne Cureskin doctor se baat karein ya 81500 96500 par call karein, taaki aapko sahi guidance mil sake.",2026-06-28T09:47:49.559+05:30,2026-06-28T09:47:49.559+05:30
xbrYCcBRL3,_User$0Cnj7TBocH,BOT,treatmentSessionIntro,"Hi Nidhi, I’m your Cure AI Health Assistant. Have questions about your treatment plan? I'm here for you.",2026-06-28T10:47:19.123+05:30,2026-06-28T10:47:19.123+05:30
XMZkW1GM9A,_User$0GJzYbCZY8,BOT,treatmentSessionIntro,"Hi Fahmida, मैं आपका Cure AI हेल्थ असिस्टेंट हूँ। क्या आपके ट्रीटमेंट प्लान को लेकर कोई सवाल हैं? मैं यहाँ आपकी मदद के लिए हूँ।",2026-06-28T09:49:12.827+05:30,2026-06-28T09:49:12.827+05:30
weaPvaBxZM,_User$0GJzYbCZY8,USER,treatmentSessionIntro,Mere dark circles 12 years se hai,2026-06-28T09:50:32.974+05:30,2026-06-28T09:50:32.974+05:30
yzcEHEJO6f,_User$0GJzYbCZY8,BOT,newTreatmentSessionLLMAssistantMessage1,"Dark circles can be a persistent concern, and Cureskin offers a solution with the Bio-Peptide Under Eye Gel. This gel is designed to address dark circles, fine lines, puffiness, and early wrinkles. Its bioactive formula boosts collagen, improves microcirculation, and helps relax under-eye muscle tension, leading to healthier-looking skin over time.

For the best results, it's important to apply a rice-grain-sized amount under the eyes on alternate nights and leave it on overnight. If this product is not part of your current regimen, please discuss your concerns with your dermatologist during your next check-up in the Cureskin app.",2026-06-28T09:50:53.94+05:30,2026-06-28T09:50:53.94+05:30
tloMl0riKn,_User$0L8KBRcp7N,BOT,treatmentSessionIntro,"Hi Sangita, मैं आपका Cure AI हेल्थ असिस्टेंट हूँ। क्या आपके ट्रीटमेंट प्लान को लेकर कोई सवाल हैं? मैं यहाँ आपकी मदद के लिए हूँ।",2026-06-28T07:54:39.482+05:30,2026-06-28T07:54:39.482+05:30
9pUJyds9zl,_User$0PJuspCezo,BOT,treatmentSessionIntro,"Hi Sajida, मैं आपका Cure AI हेल्थ असिस्टेंट हूँ। क्या आपके ट्रीटमेंट प्लान को लेकर कोई सवाल हैं? मैं यहाँ आपकी मदद के लिए हूँ।",2026-06-28T11:07:13.626+05:30,2026-06-28T11:07:13.626+05:30
hacvBVmtiA,_User$0PJuspCezo,USER,treatmentSessionIntro,Kya Meri jhaiyan theek ho sakti hai doctor batao guarantee le rahe ho aap,2026-06-28T11:07:44.184+05:30,2026-06-28T11:07:44.184+05:30
9CGtWGRZmG,_User$0PJuspCezo,BOT,newTreatmentSessionLLMAssistantMessage1,"Cureskin offers an improvement guarantee for its treatments. This means that if you do not see results, they will assist you in finding the right solution. Your treatment is personalized by dermatologists after assessing your specific needs, ensuring tailored care for you. 

If you have any concerns or need further assistance, feel free to reach out to your Cureskin doctor through the app or call 81500 96500.",2026-06-28T11:07:52.411+05:30,2026-06-28T11:07:52.411+05:30
OF3q02lXjV,_User$0PTLNjd6Gn,BOT,treatmentSessionIntro,"Hi Bhavna, मैं आपका Cure AI हेल्थ असिस्टेंट हूँ। क्या आपके ट्रीटमेंट प्लान को लेकर कोई सवाल हैं? मैं यहाँ आपकी मदद के लिए हूँ।",2026-06-28T13:06:32.636+05:30,2026-06-28T13:06:32.636+05:30
fumNH47qJJ,_User$0PTLNjd6Gn,USER,treatmentSessionIntro,कोई साइडिफेक्ट तो नहीं होगा,2026-06-28T13:07:35.216+05:30,2026-06-28T13:07:35.216+05:30
gmztCzKlhC,_User$0PTLNjd6Gn,BOT,newTreatmentSessionLLMAssistantMessage1,"Cureskin products are carefully formulated by dermatologists and tailored to your skin’s needs. While they are designed to be safe and effective, individual reactions can vary, and some users may experience mild side effects. To minimize risks and ensure the best results, it's important to follow the instructions provided in the app. If you have any concerns or experience discomfort, our dermatologists are available for guidance.",2026-06-28T13:07:49.265+05:30,2026-06-28T13:07:49.265+05:30
Agkr783NB8,_User$0PTLNjd6Gn,USER,newTreatmentSessionLLMAssistantMessage1,अगर मुझे कोई प्रोग्राम मे जाना हो तो कौनसी क्रीम लगाना hoga,2026-06-28T13:09:25.115+05:30,2026-06-28T13:09:25.115+05:30
0UfSEIvwEm,_User$0PTLNjd6Gn,BOT,newTreatmentSessionLLMAssistantMessage2,"आपको किसी प्रोग्राम में जाने से पहले अपनी त्वचा को तैयार करने के लिए सही क्रीम का उपयोग करना चाहिए। Cureskin की Derma Bright Night Cream आपकी त्वचा के टोन को सुधारने और टैनिंग को कम करने में मदद कर सकती है। इसे नियमित रूप से रात में लगाना चाहिए ताकि आपकी त्वचा साफ और चमकदार दिखे। 

आपके व्यक्तिगत त्वचा के प्रकार और चिंताओं के आधार पर, आपके Cureskin डॉक्टर द्वारा अन्य उत्पादों की सिफारिश भी की जा सकती है।",2026-06-28T13:09:37.984+05:30,2026-06-28T13:09:37.984+05:30
q8wSpj2Pxo,_User$0QqRVeZP6q,BOT,treatmentSessionIntro,"Hi Nafiya, मैं आपका Cure AI हेल्थ असिस्टेंट हूँ। क्या आपके ट्रीटमेंट प्लान को लेकर कोई सवाल हैं? मैं यहाँ आपकी मदद के लिए हूँ।",2026-06-28T23:12:28.023+05:30,2026-06-28T23:12:28.023+05:30
op6dal7eIB,_User$0QqRVeZP6q,USER,treatmentSessionIntro,1000,2026-06-28T23:12:37.004+05:30,2026-06-28T23:12:37.004+05:30
EyQDWGiCrH,_User$0QqRVeZP6q,BOT,requestToScheduleDoctorCall,"माफ़ कीजिए, मुझे आपका सही जवाब नहीं मिला। लेकिन कोई बात नहीं — हम डॉक्टर के साथ एक कॉल शेड्यूल कर सकते हैं। आपको 2 घंटे के अंदर या कल सुबह 9 बजे के बाद कॉल आ जाएगा।",2026-06-28T23:12:47.721+05:30,2026-06-28T23:12:47.721+05:30
H6vNtGOfDv,_User$0QqRVeZP6q,USER,requestToScheduleDoctorCall,और चैट करें,2026-06-28T23:13:00.758+05:30,2026-06-28T23:13:00.758+05:30
